,lemma,original_form,tag
160,abet,abetting,VP---PSA-N-N-
161,abhor,abhorred,VP---ASA-N-N-
162,*,abhorring,ZN-S3-PP----
163,abhor,abhorring,VP---PSA-N-N-
164,abhor,abhors,VI-S3PSA-N-N-
165,abide,abided,VP---ASA-N-N-
166,abide,abides,VI-S3PSA-N-N-
167,abide,abiding,VP---PSA-N-N-
168,abide,abode,VP---ASA-N-N-
169,ability,abilities,NC-P-N5
170,ability,abilities,GN-P3D--
171,abjure,abjured,VP---ASA-N-N-
172,abjure,abjures,VI-S3PSA-N-N-
173,abjure,abjuring,VP---PSA-N-N-
174,ablation,ablations,NC-P-N-
175,ablation,ablations,GN-P3---
176,able,abler,AC-N6
177,able,abler,GA------
178,able,ablest,AS-N6
179,ablution,ablutions,NC-P-N-
180,abnormality,abnormalities,NC-P-N-
181,abode,abodes,NC-P-N-
182,*,abolished,ZA----PA----
183,abolish,abolished,VP---ASA-N-N4
184,abode,abodes,GN-P3---
185,abolish,abolishes,VI-S3PSA-N-N4
186,abolish,abolishing,VP---PSA-N-N4
187,abolition,abolitions,NC-P-N3
188,abolitionist,abolitionists,NC-P-N-
189,A-bomb,A-bombs,NC-P-N-
190,*,abominated,ZA----PA----
191,abominate,abominated,VP---ASA-N-N-
192,abominate,abominates,VI-S3PSA-N-N-
193,abominate,abominating,VP---PSA-N-N-
194,abomination,abominations,NC-P-N-
195,aboriginal,aboriginals,NC-P-N-
196,Aborigine,Aborigines,NC-P-N-
197,abort,aborted,VP---ASA-N-N-
198,*,aborting,ZN-S3-PP----
199,abort,aborting,VP---PSA-N-N-
200,abort,aborts,VI-S3PSA-N-N-
201,abortifacient,abortifacients,NC-P-N-
202,abortion,abortions,NC-P-N4
203,abortionist,abortionists,NC-P-N-
204,abound,abounded,VP---ASA-N-N-
205,*,abounding,ZN-S3-PP----
206,abound,abounding,VP---PSA-N-N-
207,abound,abounds,VI-S3PSA-N-N-
208,about-face,about-faces,NC-P-N-
209,about-face,about-faces,GN-P3D--
210,about,about-turns,ENOPN6
211,about,about-turns,GEO--C--
212,abrasion,abrasions,NC-P-N-
213,abrasive,abrasives,NC-P-N-
214,abreaction,abreactions,NC-P-N5
215,*,abridged,ZA----PA----
216,abridge,abridged,VP---ASA-N-N-
217,abreaction,abreactions,GN-P3---
218,abridge,abridges,VI-S3PSA-N-N-
219,abridge,abridging,VP---PSA-N-N-
220,abrogate,abrogated,VP---ASA-N-N-
221,abrogate,abrogates,VI-S3PSA-N-N-
222,abrogate,abrogating,VP---PSA-N-N-
223,abrogation,abrogations,NC-P-N-
224,abrogation,abrogations,GN-P3D--
225,abscess,abscesses,NC-P-N-
226,abscess,abscesses,GN-P3---
227,abscissa,abscissas,NC-P-N-
228,abscond,absconded,VP---ASA-N-N-
229,*,absconding,ZN-S3-PP----
230,abscond,absconding,VP---PSA-N-N-
231,abscissa,abscissas,GN-P3---
232,abscond,absconds,VI-S3PSA-N-N-
233,abseil,abseiled,VP---ASA-N-N-
234,*,abseiling,ZN-S3-PP----
235,abseil,abseiling,VP---PSA-N-N-
236,abseil,abseils,VI-S3PSA-N-N-
237,absence,absences,NC-P-N5
238,absence,absences,GN-P3D--
239,absentee,absentees,NC-P-N-
240,absenteeism,absenteeisms,NC-P-N-
241,absinthe,absinthes,NC-P-N-
242,Absolute,Absolutes,NC-P-N-
243,absolutist,absolutists,NC-P-N-
244,*,absolved,ZA----PA----
245,absolve,absolved,VP---ASA-N-N-
246,absolutist,absolutists,GN-P3---
247,absolve,absolves,VI-S3PSA-N-N-
248,absolve,absolving,VP---PSA-N-N-
249,absorb,absorbed,VP---ASA-N-N4
250,*,absorbing,ZN-S3-PP----
251,absorb,absorbing,VP---PSA-N-N4
252,absorb,absorbs,VI-S3PSA-N-N4
253,absorber,absorbers,NC-P-N-
254,absorber,absorbers,GN-P3---
255,absorption,absorptions,NC-P-N3
256,abstain,abstained,VP---ASA-N-N-
257,*,abstaining,ZN-S3-PP----
258,abstain,abstaining,VP---PSA-N-N-
259,absorption,absorptions,GN-P3---
260,abstain,abstains,VI-S3PSA-N-N-
261,abstainer,abstainers,NC-P-N-
262,abstention,abstentions,NC-P-N-
263,abstinence,abstinences,NC-P-N-
264,abstract,abstracted,VP---ASA-N-N4
265,*,abstracting,ZN-S3-PP----
266,abstract,abstracting,VP---PSA-N-N4
267,abstract,abstracts,VI-S3PSA-N-N4
268,abstraction,abstractions,NC-P-N-
269,absurdity,absurdities,NC-P-N-
270,abundance,abundances,NC-P-N-
271,abuse,abused,VP---ASA-N-N4
272,abuse,abuses,NC-P-N4
273,*,abusing,ZA----PP----
274,abuse,abusing,VP---PSA-N-N4
275,abuse,abuses,GN-P3D--
276,abuser,abusers,NC-P-N5
277,abuser,abusers,GN-P3D--
278,abut,abuts,VI-S3PSA-N-N-
279,abut,abutted,VP---ASA-N-N-
280,abut,abutting,VP---PSA-N-N-
281,abyss,abysses,NC-P-N-
282,acacia,acacias,NC-P-N-
283,academic,academics,NC-P-N3
284,academician,academicians,NC-P-N-
285,academy,academies,NC-P-N3
286,academy,academies,GN-P3---
287,accede,acceded,VP---ASA-N-N-
288,accede,accedes,VI-S3PSA-N-N-
289,accede,acceding,VP---PSA-N-N-
290,accelerant,accelerants,NC-P-N-
291,*,accelerated,ZA----PA----
292,accelerate,accelerated,VP---ASA-N-N3
293,accelerant,accelerants,GN-P3D--
294,accelerate,accelerates,VI-S3PSA-N-N3
295,accelerate,accelerating,VP---PSA-N-N3
296,acceleration,accelerations,NC-P-N-
297,accelerator,accelerators,NC-P-N-
298,accelerometer,accelerometers,NC-P-N-
299,accent,accented,VP---ASA-N-N4
300,accent,accenting,VP---PSA-N-N4
301,accent,accents,NC-P-N4
302,*,accentuated,ZA----PA----
303,accentuate,accentuated,VP---ASA-N-N-
304,accent,accents,GN-P3D--
305,third,fifty-third,GN-S3S--
306,accentuate,accentuates,VI-S3PSA-N-N-
307,accentuate,accentuating,VP---PSA-N-N-
308,accentuation,accentuations,NC-P-N-
309,accept,accepted,VP---ASA-N-N6
310,*,accepting,ZN-S3-PP----
311,accept,accepting,VP---PSA-N-N6
312,accentuation,accentuations,GN-P3D--
313,accept,accepts,VI-S3PSA-N-N6
314,acceptability,acceptabilities,NC-P-N-
315,acceptance,acceptances,NC-P-N4
316,acceptor,acceptors,NC-P-N-
317,access,accessed,VP---ASA-N-N4
318,access,accesses,NC-P-N4
319,access,accessing,VP---PSA-N-N4
320,accessibility,accessibilities,NC-P-N-
321,accessibility,accessibilities,GN-P3D--
322,accession,accessions,NC-P-N-
323,accessory,accessories,NC-P-N-
324,accident,accidents,NC-P-N5
325,acclaim,acclaimed,VP---ASA-N-N-
326,acclaim,acclaiming,VP---PSA-N-N-
327,acclaim,acclaims,NC-P-N-
328,*,acclimated,ZA----PA----
329,acclimate,acclimated,VP---ASA-N-N-
330,acclaim,acclaims,GN-P3D--
331,access,accesses,GN-P3D--
332,acceptor,acceptors,GN-P3---
333,acclimate,acclimates,VI-S3PSA-N-N-
334,acclimate,acclimating,VP---PSA-N-N-
335,acclimatisation,acclimatisations,NC-P-N-
336,*,acclimatised,ZA----PA----
337,acclimatise,acclimatised,VP---ASA-N-N-
338,acclimatisation,acclimatisations,GN-P3---
339,acclimatise,acclimatises,VI-S3PSA-N-N-
340,acclimatise,acclimatising,VP---PSA-N-N-
341,acclimatization,acclimatizations,NC-P-N-
342,acclimatization,acclimatizations,GN-P3D--
343,acclimatize,acclimatizes,VI-S3PSA-N-N-
344,accolade,accolades,NC-P-N-
345,*,accommodated,ZA----PA----
346,accommodate,accommodated,VP---ASA-N-N4
347,accolade,accolades,GN-P3---
348,accommodate,accommodates,VI-S3PSA-N-N4
349,accommodating,accommodating,AP-N-
350,accommodations,accommodations,NC-P-N-
351,accompaniment,accompaniments,NC-P-N-
352,accompanist,accompanists,NC-P-N-
353,*,accompanied,ZA----PA----
354,accompany,accompanied,VP---ASA-N-N5
355,accompany,accompanies,VI-S3PSA-N-N5
356,accompany,accompanying,VP---PSA-N-N5
357,accomplice,accomplices,NC-P-N-
358,*,accomplished,ZA----PA----
359,accomplish,accomplished,VP---ASA-N-N3
360,accomplice,accomplices,GN-P3D--
361,accomplish,accomplishes,VI-S3PSA-N-N3
362,accomplish,accomplishing,VP---PSA-N-N3
363,accomplishment,accomplishments,NC-P-N-
364,accord,accorded,VP---ASA-N-N3
365,according,according,YN6
366,accord,accords,NC-P-N3
367,accordion,accordions,NC-P-N-
368,accost,accosted,VP---ASA-N-N-
369,*,accosting,ZN-S3-PP----
370,accost,accosting,VP---PSA-N-N-
371,accomplishment,accomplishments,GN-P3D--
372,accost,accosts,VI-S3PSA-N-N-
373,account,accounted,VP---ASA-N-N5
374,accounting,accounting,NC-S-N4
375,account,accounts,NC-P-N5
376,accountability,accountabilities,NC-P-N3
377,accountant,accountants,NC-P-N4
378,accounting,accountings,NC-P-N4
379,accoutrements,accoutrements,NC-P-N-
380,accredit,accredited,VP---ASA-N-N-
381,*,accrediting,ZN-S3-PP----
